url,score,country,sector,issues_count,created_at
https://www.carrefour.fr,85,France,technologie,2,2025-08-25 09:06:22
https://www.apple.com,85,International,technologie,2,2025-08-25 09:06:22
https://www.eon.com,80,International,general,3,2025-08-25 09:06:21
https://www.open.ac.uk,80,United Kingdom,general,3,2025-08-25 09:06:21
https://www.roche.com,90,International,technologie,2,2025-08-25 09:06:21
https://www.carrefour.fr,85,France,technologie,2,2025-08-25 08:43:56
https://www.apple.com,85,International,technologie,2,2025-08-25 08:43:54
https://www.eon.com,80,International,general,3,2025-08-25 08:43:54
https://www.roche.com,90,International,technologie,2,2025-08-25 08:43:54
https://www.open.ac.uk,80,United Kingdom,general,3,2025-08-25 08:43:53
